"Name","Type","IngredientsToAvoid"
"Reflux","Disease","barbeque sauce,black pepper,anaheim chile pepper,anaheim pepper,pepperoncini,pepperoni,pepperoni sausage,pepper sauce,picante sauce,chili,chile pepper,pimento pepper,chili sauce,chipotle chile,chipotle sauce,chocolate,chile paste,chile pepper,chili oil,chili paste,chili powder,chili sauce,cherry pepper,red chile pepper,red onion,grapefruit,red pepper,tomato,tomato basil pasta sauce,tomato juice,tomato paste,tomato puree,tomato sauce,tomato soup,tomato puree,lime,orange,orange juice,orange zest,orange flower,orange marmelade,pepper seasoning,lemon,lemon juice,pepper jack cheese,lemon pie,lemon yogurt,lemon zest,lime juice,lime zest,hot chili,hot pepper sauce,hot tomato sauce,lemon pepper,onion,pepper, garlic, shallots,shallot,balsamic vinegar,vinegar,cayenne pepper,onion juice,onion powder,cubanelle pepper,wasabi paste,wasabi,curry,paprika,fontina cheese,green chilies,green chile pepper,green onion,green pepper,guajillo chile,harissa,hot chile paste,orange pepper,jalapeno pepper,ketchup,marinara sauce,mexican cheese,mayonnaise,onion soup,bacon,pineapplr,sour cream,sriracha sauce,turmeric,white onion,white pepper,worcestershire sauce,yellow onion,garlic oil,garlic powder,yellow pepper,beer,fig,bourbon,beans,bean,black beans,green beans,red beans,cannellini beans,pinto beans,liqueur,mint,pepper mint,rum,soda,whiskey,wine,habanero pepper,ketchup,kumquats,pepper corns,pepper sauce,pineapple juice,taco sauce"
"Lactose","Intolerance","milk,butter,butter milk,emmentaler cheese,blue cheese,asiago cheese,american cheese,mozzarella,mozzarella balls,mozzarella cheese,ricotta,cheese,parmesan cheese,pecorino cheese,bechamel sauce,cheddar cheese,cheese crumbles,halloumi cheese,cheese sauce,cottage cheese,cream,cream cheese,cream topping,pizza cheese,creme fraiche,heavy cream,colby cheese,feta cheese,gorgonzola cheese,gruyere cheese,havarti cheese,pepper jack cheese,jack cheese,jarlsberg cheese,gouda cheese,mascarpone cheese,mexican style cheese,monterey jack cheese,monterey cheese,neufchatel cheese,peanut butter,provolone cheese,ricotta cheese,edam cheese,soy milk,nacho cheese,swiss cheese,chocolate,chocolate syrup,candy bar,coconut milk,custard,eggnog,yogurt,lemon yogurt,bocconcini cheese,brie cheese,camembert cheese,cotija cheese,goat cheese,mexican cheese"
"Seafood","Intolerance","shrimp,anchovy,tuna,anchovy paste,cod,mussel,fish sauce,clam,clams,urchin,oyster,fish sauce,oyster sauce,prawn,salmon,cod,crabmeat,jelfish,lobster,seafood seasoning,squid"
"Cholesterolemia","Disease","milk,mozzarella,mozzarella cheese,mozzarella balls,ricotta,cheese,parmigiano cheese,shortening,sugar,bread,bread crumbs,cereal,cappuccino,coffee,espresso,colby cheese,margarine,gruyere cheese,butter milk,cheddar cheese,cheese,gorgonzola cheese,emmentaler cheese,gouda cheese,coconut milk,nacho cheese,halloumi cheese,heavy cream,goat cheese,cottage cheese,bocconcini cheese,brie cheese,camembert cheese,cotija cheese,edam cheese,mexican cheese,cream,monterey cheese,cream cheese,cream topping,mascarpone cheese,milk,sour cream,yogurt,beer,liqueur,rum,vinegar,whiskey,wine"
"Diabetes","Disease","sugar,chocolate,chocolate syrup,candy bar,fig,honey,banana,butter,margarine,shortening,grape fruit juice,grape fruit zest,grapes,fruit jam,beer,liqueur,rum,vinegar,whiskey,wine"
"Alcohol","Intolerance","sherry,vermouth,vodka,cognac,white wine,wine,red wine,beer,liquor,liqueur,whiskey,rum,peach schnapps,apricot brandy,bourbon,triple sec"
"Meat","Intolerance","chicken,turkey,beef,beef broth,pork,pork sausage,wurstel,pork tenderloin,chicken broth,bacon,guanciale,ham,meat,meatballs,meatball,mince meat,nuggets,pancetta,pepperoni sausage,pulled pork,roast,salami,sausage,steak,falafel,fat,lean beef,filet,lamb"
